season,yr,holiday,workingday,temp,atemp,hum,windspeed,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_1,weathersit_2,weathersit_3
3,0,1,0,0.673333,0.625646,0.790417,0.212696,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4,0,0,0,0.238333,0.245579,0.58625,0.16977899999999999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0.3025,0.299242,0.5425,0.190304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3,0,0,0,0.804167,0.728537,0.465833,0.168537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,0,0,1,0.700833,0.645837,0.578333,0.23632899999999998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,0,0,1,0.643333,0.604808,0.727083,0.139929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
4,0,0,1,0.609167,0.522125,0.9725,0.0783667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2,0,0,0,0.451667,0.448204,0.762083,0.10635399999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,0,0.6675,0.61555,0.81875,0.21393800000000002,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1,0,1,0.765833,0.722867,0.6425,0.215792,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,0.545,0.532821,0.72875,0.16231700000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,1,0,1,0.630833,0.594704,0.37333299999999997,0.347642,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,0,1,0.335833,0.324479,0.83625,0.226992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,1,0,0,0.678333,0.618071,0.603333,0.177867,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,1,0,1,0.635833,0.595967,0.734167,0.12997899999999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,1,0,1,0.7825,0.720975,0.592083,0.11381199999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,1,1,0,0.789167,0.732337,0.53875,0.13495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,0,0,0,0.805833,0.729796,0.480833,0.16481300000000002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0.384167,0.378779,0.789167,0.251871,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,1,0,0,0.58,0.563125,0.57,0.09018330000000001,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0.4725,0.466525,0.37916700000000003,0.368167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0.399167,0.391404,0.187917,0.507463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,0,0,1,0.385833,0.393925,0.827083,0.06220830000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,0,0,1,0.51,0.497463,0.457083,0.240063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0.359167,0.353525,0.395833,0.193417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,0,1,0.5025,0.493054,0.739167,0.274879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,1,0,1,0.280833,0.281567,0.567083,0.173513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4,0,0,1,0.5325,0.522721,0.701667,0.11008699999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0.0973913,0.11793,0.49173900000000004,0.15833,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,1,0.775833,0.727279,0.6220829999999999,0.136817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,0.25416700000000003,0.226642,0.652917,0.35013299999999997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2,0,0,1,0.264348,0.25757399999999997,0.302174,0.212204,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,1,0,1,0.298333,0.323867,0.649583,0.05847080000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
4,1,0,1,0.44,0.4394,0.88,0.3582,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,0,0,1,0.31416700000000003,0.331433,0.625833,0.100754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0.2875,0.277767,0.35041700000000003,0.22575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,0,0,0,0.606667,0.564412,0.8625,0.0783833,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4,0,1,0,0.37333299999999997,0.372471,0.549167,0.167304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4,0,0,1,0.290833,0.317542,0.695833,0.08271669999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4,0,0,1,0.276667,0.280933,0.6375,0.172896,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0.180833,0.18625,0.60375,0.187192,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1,0,1,0.728333,0.66605,0.62,0.190925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,1,0,1,0.361667,0.35541300000000003,0.540833,0.214558,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,1,0,1,0.485833,0.475371,0.615417,0.226987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,1,0.253333,0.255046,0.59,0.155471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,0.264167,0.272725,0.779583,0.121896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,0,0,1,0.6443479999999999,0.60213,0.692174,0.088913,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0.1075,0.11933699999999998,0.414583,0.1847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,0,0,0.520833,0.500629,0.9225,0.13495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,0,0,1,0.724167,0.656583,0.573333,0.222025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,1,0,1,0.706667,0.652779,0.590417,0.0771167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,0,0,0,0.7425,0.715292,0.7529170000000001,0.201487,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1,0,1,0.720833,0.659721,0.587917,0.207713,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,0,0.265833,0.257571,0.394167,0.209571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,0,0,1,0.430435,0.409735,0.737391,0.288783,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,1,0,1,0.3325,0.34216199999999997,0.625417,0.184092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0.325,0.327633,0.7625,0.18845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
4,0,0,0,0.258333,0.249371,0.560833,0.243167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
3,1,0,1,0.776667,0.739263,0.5966670000000001,0.28481300000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0.192174,0.23453000000000002,0.829565,0.053212999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,0,0,1,0.775,0.724121,0.570417,0.151121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,1,0,1,0.4375,0.433071,0.539167,0.235092,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4,0,0,1,0.384167,0.392046,0.760833,0.08334580000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,1,0,1,0.599167,0.571971,0.66875,0.154229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,1,0,1,0.531667,0.513258,0.82125,0.08955830000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,0,0,0,0.491667,0.478512,0.718333,0.189675,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,1,0.364348,0.350461,0.712174,0.346539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,0.265833,0.278412,0.524167,0.129987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,0,0,0,0.686667,0.638263,0.585,0.208342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,1,0.274167,0.282821,0.8475,0.131221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,1,0,1,0.4425,0.43180799999999997,0.408333,0.155471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,0,0,1,0.456667,0.451988,0.93,0.136829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,1,0.54,0.5270090000000001,0.525217,0.231017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,1,0.196364,0.189405,0.43727299999999997,0.248309,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,0,0,1,0.503478,0.490122,0.743043,0.142122,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
4,1,0,1,0.353333,0.364892,0.61375,0.103246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,0,0,1,0.776667,0.747479,0.650417,0.1306,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,0,1,0,0.324167,0.306817,0.44625,0.314675,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,1,0.335,0.320071,0.449583,0.30783299999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,1,0,0,0.6675,0.623125,0.7625,0.09392080000000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,0,0,0,0.31916700000000003,0.321329,0.62375,0.176617,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
4,0,0,1,0.408333,0.405921,0.702083,0.136817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4,1,0,1,0.289167,0.281563,0.552083,0.199625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
4,1,0,1,0.2975,0.297338,0.538333,0.162937,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
3,0,0,1,0.640833,0.606067,0.455417,0.146763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,0,1,0.3,0.283454,0.68625,0.258708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,1,0,1,0.463333,0.457038,0.569167,0.16791199999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,1,0,0,0.495,0.487996,0.5029170000000001,0.190917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,1,0.31652199999999997,0.305,0.649565,0.23296999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,0,0,1,0.771667,0.703292,0.550833,0.156717,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,1,0.535,0.523363,0.7475,0.189667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0.415,0.39835,0.375833,0.417908,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0.329167,0.32575,0.594583,0.220775,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,0,0,1,0.794167,0.739275,0.559167,0.200254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,0,0,1,0.375,0.380671,0.64375,0.0988958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0,0,1,0.626667,0.587754,0.471667,0.16791199999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,1,0.5775,0.550512,0.787917,0.126871,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
