"","season","mnth","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
"231",3,8,5,1,2,0.685,0.633221,0.722917,0.139308,4153
"232",3,8,6,0,1,0.6975,0.648996,0.674167,0.104467,5191
"235",3,8,2,1,1,0.640833,0.606067,0.455417,0.146763,5895
"238",3,8,5,1,1,0.7,0.659733,0.76125,0.0839625,4661
"242",3,8,2,1,1,0.639167,0.594704,0.548333,0.125008,5204
"243",3,8,3,1,1,0.656667,0.611121,0.597917,0.0833333,5058
"244",3,9,4,1,1,0.655,0.614921,0.639167,0.141796,5115
"247",3,9,0,0,1,0.709167,0.665429,0.742083,0.206467,4940
"249",3,9,2,1,3,0.54,0.5152,0.886957,0.343943,2710
"250",3,9,3,1,3,0.599167,0.544229,0.917083,0.0970208,1996
"251",3,9,4,1,3,0.633913,0.555361,0.939565,0.192748,1842
"256",3,9,2,1,1,0.650833,0.603554,0.7125,0.141804,4763
"258",3,9,4,1,2,0.5775,0.553671,0.709167,0.271146,3659
"261",3,9,0,0,1,0.5075,0.490537,0.695,0.178483,4274
"267",4,9,6,0,2,0.606667,0.564412,0.8625,0.0783833,5423
"269",4,9,1,1,2,0.649167,0.589042,0.848333,0.1107,4630
"275",4,10,0,0,2,0.356667,0.345317,0.791667,0.222013,2918
"278",4,10,3,1,1,0.538333,0.527138,0.647917,0.17725,4826
"280",4,10,5,1,1,0.510833,0.504404,0.684167,0.0223917,4985
"284",4,10,2,1,2,0.566667,0.546096,0.80875,0.143042,4563
"287",4,10,5,1,2,0.550833,0.529675,0.71625,0.223883,3644
"288",4,10,6,0,1,0.506667,0.498725,0.483333,0.258083,5217
"296",4,10,0,0,1,0.421667,0.422333,0.74125,0.0995125,4381
"299",4,10,3,1,2,0.484167,0.472846,0.720417,0.148642,3894
"304",4,10,1,1,1,0.34,0.356063,0.703333,0.10635,3669
"306",4,11,3,1,1,0.3775,0.390133,0.71875,0.0820917,4186
"307",4,11,4,1,1,0.408333,0.405921,0.702083,0.136817,3974
"314",4,11,4,1,2,0.38,0.373721,0.813333,0.189067,2933
"323",4,11,6,0,1,0.329167,0.324483,0.502083,0.224496,3663
"327",4,11,3,1,2,0.440833,0.430537,0.757917,0.335825,2566
"330",4,11,6,0,1,0.375833,0.385087,0.681667,0.0684208,3068
"331",4,11,0,0,1,0.459167,0.4558,0.698333,0.208954,3071
"332",4,11,1,1,1,0.503478,0.490122,0.743043,0.142122,3867
"338",4,12,0,0,1,0.330833,0.3491,0.775833,0.0839583,3485
"341",4,12,3,1,3,0.41,0.400246,0.970417,0.266175,705
"356",1,12,4,1,2,0.423333,0.426121,0.7575,0.047275,3068
"366",1,1,0,0,1,0.37,0.375621,0.6925,0.192167,2294
"369",1,1,3,1,2,0.1075,0.119337,0.414583,0.1847,2368
"372",1,1,6,0,1,0.393333,0.390779,0.531667,0.174758,4521
"378",1,1,5,1,1,0.274167,0.249362,0.5075,0.378108,3214
"382",1,1,2,1,2,0.373043,0.364278,0.716087,0.34913,2935
"385",1,1,5,1,2,0.2175,0.220958,0.45,0.20275,3163
"391",1,1,4,1,2,0.341667,0.35605,0.769583,0.0733958,4075
"393",1,1,6,0,1,0.315833,0.326379,0.543333,0.210829,4023
"394",1,1,0,0,1,0.2825,0.272721,0.31125,0.24005,3243
"396",1,1,2,1,1,0.39,0.381317,0.416667,0.261817,4509
"397",1,2,3,1,1,0.469167,0.466538,0.507917,0.189067,4579
"400",1,2,6,0,2,0.264167,0.272725,0.779583,0.121896,2832
"402",1,2,1,1,1,0.282609,0.296426,0.622174,0.1538,3784
"404",1,2,3,1,2,0.256667,0.266421,0.722917,0.133721,2802
"410",1,2,2,1,2,0.319167,0.333946,0.50875,0.141179,3922
"411",1,2,3,1,1,0.348333,0.351629,0.53125,0.1816,4169
"416",1,2,1,0,1,0.28,0.273391,0.507826,0.229083,3129
"419",1,2,4,1,1,0.454167,0.444446,0.554583,0.190913,5062
"423",1,2,1,1,1,0.366667,0.357954,0.490833,0.268033,4322
"425",1,2,3,1,2,0.344348,0.34847,0.804783,0.179117,1834
"427",1,3,5,1,2,0.353333,0.359842,0.657083,0.144904,3194
"433",1,3,4,1,1,0.5275,0.524604,0.5675,0.441563,5382
"436",1,3,0,0,1,0.361739,0.35967,0.476957,0.222587,4911
"437",1,3,1,1,1,0.466667,0.459592,0.489167,0.207713,5298
"439",1,3,3,1,1,0.5725,0.548617,0.507083,0.115062,6312
"440",1,3,4,1,1,0.5575,0.532825,0.579583,0.149883,6192
"441",1,3,5,1,2,0.435833,0.436229,0.842083,0.113192,4378
"449",2,3,6,0,2,0.5025,0.486733,0.885417,0.192783,3372
"453",2,3,3,1,1,0.484167,0.47095,0.48125,0.291671,5698
"456",2,3,6,0,2,0.424167,0.421708,0.738333,0.250617,6235
"461",2,4,4,1,1,0.435,0.431163,0.374167,0.219529,6457
"463",2,4,6,0,1,0.4375,0.426129,0.254167,0.274871,6857
"469",2,4,5,1,1,0.4425,0.431808,0.408333,0.155471,6398
"473",2,4,2,1,1,0.608333,0.598487,0.390417,0.273629,6691
"477",2,4,6,0,1,0.57,0.542921,0.682917,0.283587,6624
"479",2,4,1,1,2,0.321667,0.301125,0.766667,0.303496,3214
"488",2,5,3,1,1,0.564167,0.537896,0.797083,0.138058,6169
"494",2,5,2,1,2,0.581667,0.557471,0.685833,0.296029,5728
"495",2,5,3,1,2,0.575,0.553025,0.744167,0.216412,4717
"506",2,5,0,0,1,0.620833,0.583967,0.530417,0.254367,7129
"508",2,5,2,1,2,0.615,0.580825,0.765833,0.118167,6073
"512",2,5,6,0,1,0.6925,0.642696,0.7325,0.198992,6536
"515",2,5,2,1,1,0.7225,0.672992,0.684583,0.2954,5743
"523",2,6,3,1,1,0.554167,0.542292,0.61125,0.077125,7055
"524",2,6,4,1,1,0.6025,0.569442,0.567083,0.15735,7494
"525",2,6,5,1,1,0.649167,0.597862,0.467917,0.175383,7736
"527",2,6,0,0,1,0.726667,0.663517,0.538333,0.133721,6598
"529",2,6,2,1,2,0.653333,0.597875,0.833333,0.214546,4972
"535",2,6,1,1,2,0.568333,0.544842,0.777917,0.174746,5099
"536",2,6,2,1,1,0.688333,0.654692,0.69,0.148017,6825
"547",3,6,6,0,1,0.765,0.687508,0.60125,0.161071,5687
"549",3,7,1,1,1,0.781667,0.702038,0.447083,0.195267,6227
"552",3,7,4,1,1,0.8275,0.761367,0.457917,0.194029,6241
"557",3,7,2,1,2,0.720833,0.664796,0.6675,0.151737,6290
"559",3,7,4,1,1,0.715833,0.654683,0.529583,0.146775,7446
"560",3,7,5,1,2,0.731667,0.667933,0.485833,0.08085,7499
"570",3,7,1,1,1,0.741667,0.690017,0.694167,0.138683,6966
"574",3,7,5,1,1,0.781667,0.734217,0.594583,0.152992,6904
"576",3,7,0,0,1,0.721667,0.667933,0.62375,0.170396,6597
"578",3,7,2,1,1,0.713333,0.662896,0.704167,0.165425,7216
"579",3,8,3,1,1,0.7175,0.667308,0.6775,0.141179,7580
"580",3,8,4,1,1,0.7525,0.707088,0.659583,0.129354,7261
"581",3,8,5,1,2,0.765833,0.722867,0.6425,0.215792,7175
"585",3,8,2,1,2,0.735833,0.697621,0.70375,0.116908,7273
"587",3,8,4,1,1,0.755833,0.699508,0.620417,0.1561,7286
"590",3,8,0,0,1,0.700833,0.644579,0.530417,0.122512,6544
"593",3,8,3,1,1,0.706667,0.654037,0.619583,0.169771,7347
"598",3,8,1,1,2,0.635833,0.595967,0.734167,0.129979,6530
"605",3,8,1,1,1,0.703333,0.654688,0.730417,0.128733,6917
"606",3,8,2,1,1,0.728333,0.66605,0.62,0.190925,7040
"607",3,8,3,1,1,0.685,0.635733,0.552083,0.112562,7697
"609",3,8,5,1,1,0.764167,0.6894,0.5875,0.168533,7350
"610",3,9,6,0,2,0.753333,0.702654,0.638333,0.113187,6140
"613",3,9,2,1,1,0.725833,0.686888,0.755,0.236321,6864
"617",3,9,6,0,2,0.659167,0.611121,0.799167,0.281104,5976
"618",3,9,0,0,1,0.61,0.578925,0.5475,0.224496,8227
"619",3,9,1,1,1,0.583333,0.565654,0.50375,0.258713,7525
"620",3,9,2,1,1,0.5775,0.554292,0.52,0.0920542,7767
"625",3,9,0,0,1,0.58,0.563125,0.57,0.0901833,7333
"629",3,9,4,1,1,0.546667,0.532192,0.618333,0.118167,7720
"636",4,9,4,1,2,0.65,0.607975,0.690833,0.134342,7393
"640",4,10,1,1,2,0.520833,0.512,0.649167,0.0908042,6778
"641",4,10,2,1,3,0.590833,0.542333,0.871667,0.104475,4639
"642",4,10,3,1,2,0.6575,0.599133,0.79375,0.0665458,7572
"643",4,10,4,1,2,0.6575,0.607975,0.722917,0.117546,7328
"645",4,10,6,0,1,0.554167,0.538521,0.664167,0.268025,7965
"647",4,10,1,0,2,0.383333,0.387608,0.709583,0.189679,5478
"648",4,10,2,1,2,0.446667,0.438112,0.761667,0.1903,6392
"649",4,10,3,1,1,0.514167,0.503142,0.630833,0.187821,7691
"659",4,10,6,0,1,0.484167,0.472842,0.572917,0.117537,8090
"660",4,10,0,0,1,0.464167,0.456429,0.51,0.166054,6824
"661",4,10,1,1,1,0.4875,0.482942,0.568333,0.0814833,7058
"667",4,10,0,0,2,0.4775,0.467771,0.694583,0.398008,4459
"670",4,10,3,1,2,0.3575,0.3611,0.666667,0.166667,5566
"674",4,11,0,0,1,0.325833,0.329538,0.532917,0.179108,5107
"675",4,11,1,1,1,0.319167,0.308075,0.494167,0.236325,5259
"677",4,11,3,1,2,0.295833,0.274621,0.5475,0.304108,5035
"680",4,11,6,0,1,0.389167,0.393937,0.645417,0.0578458,6536
"685",4,11,4,1,2,0.321667,0.324492,0.620417,0.152987,5445
"702",4,12,0,0,2,0.3475,0.359208,0.823333,0.124379,4649
"703",4,12,1,1,1,0.4525,0.455796,0.7675,0.0827208,6234
"705",4,12,3,1,1,0.438333,0.428012,0.485,0.324021,5729
"706",4,12,4,1,1,0.255833,0.258204,0.50875,0.174754,5375
"708",4,12,6,0,2,0.381667,0.389508,0.91125,0.101379,5582
"710",4,12,1,1,2,0.435833,0.435575,0.925,0.190308,5170
"714",4,12,5,1,1,0.281667,0.294192,0.642917,0.131229,5611
"715",4,12,6,0,1,0.324167,0.338383,0.650417,0.10635,5047
"718",4,12,2,1,1,0.410833,0.409708,0.66625,0.221404,5557
"720",4,12,4,1,2,0.33,0.335217,0.667917,0.132463,4128
"724",1,12,1,1,2,0.231304,0.2589,0.791304,0.0772304,920
"726",1,12,3,1,3,0.243333,0.220333,0.823333,0.316546,441
